Date,City,Temp,Air Quality,PM 2.5,PM 10
8/14/2024 10:37:05,Toronto,22.71°C,Good,7.29,11.57
8/14/2024 10:37:06,San Francisco,13.64°C,Good,2.13,2.91
8/14/2024 10:37:07,New York,25.74°C,Fair,15.41,17.81
8/14/2024 10:37:07,Dallas,30.33°C,Good,2.2,3.18
8/14/2024 10:37:08,Boston,24.63°C,Fair,9.56,10.89
8/14/2024 10:37:08,Miami,32.06°C,Good,2.4,4.58
8/14/2024 10:37:08,Houston,30.53°C,Fair,10.65,14.08
8/19/2024 13:05:19,Toronto,15.6°C,Good,3.37,3.84
8/19/2024 13:05:19,San Francisco,15.97°C,Fair,1.36,1.92
8/19/2024 13:05:20,New York,27.85°C,Fair,4.86,5.63
8/19/2024 13:05:21,Dallas,36.41°C,Moderate,3.93,5.29
8/19/2024 13:05:21,Boston,24.36°C,Fair,4.53,5.19
8/19/2024 13:05:22,Miami,30.94°C,Good,1.11,1.51
8/19/2024 13:05:22,Houston,34.56°C,Moderate,5.92,8.09
8/20/2024 10:49:02,Toronto,16.02°C,Good,0.98,1.73
8/20/2024 10:49:04,San Francisco,15.07°C,Fair,2.31,4.22
8/20/2024 10:49:05,New York,19.21°C,Good,0.7,1.45
8/20/2024 10:49:07,Dallas,28.94°C,Fair,9.24,11.6
8/20/2024 10:49:08,Boston,18.91°C,Fair,1.09,1.61
8/20/2024 10:49:08,Miami,31.36°C,Good,3.36,4.98
8/20/2024 10:49:09,Houston,29.61°C,Good,7.96,11.09
8/20/2024 10:49:21,Toronto,16.05°C,Good,0.98,1.73
8/20/2024 10:49:22,San Francisco,14.99°C,Fair,2.31,4.22
8/20/2024 10:49:22,New York,18.83°C,Good,0.7,1.45
8/20/2024 10:49:23,Dallas,29.27°C,Fair,9.24,11.6
8/20/2024 10:49:24,Boston,19.01°C,Fair,1.09,1.61
8/20/2024 10:49:25,Miami,31.46°C,Good,3.36,4.98
8/20/2024 10:49:25,Houston,29.68°C,Good,7.96,11.09
8/21/2024 0:10:46,Toronto,14.45°C,Good,1.08,2.18
8/21/2024 0:10:47,San Francisco,17.38°C,Fair,2.42,4.25
8/21/2024 0:10:48,New York,17.11°C,Good,0.81,1.49
